#,num1,num2,operation,right_ans,user_ans,start_time,end_time,correct_flg
0,6,8,sd_last_add,4,4,1328242.64,1328244.39,1
1,1,4,sd_last_add,5,5,1328244.39,1328245.437,1
2,2,8,sd_abs_sub,6,6,1328245.437,1328246.656,1
3,1,7,sd_last_add,8,8,1328246.656,1328247.828,1
4,7,3,sd_abs_sub,4,4,1328247.828,1328249.421,1
5,1,5,sd_abs_sub,4,4,1328249.421,1328251.984,1
6,8,7,sd_abs_sub,1,1,1328251.984,1328254.14,1
7,5,3,sd_abs_sub,2,2,1328254.14,1328255.609,1
8,3,3,sd_abs_sub,0,0,1328255.609,1328256.859,1
9,9,9,sd_last_add,8,8,1328256.859,1328258.25,1
10,7,4,sd_last_add,1,1,1328258.25,1328260.281,1
11,5,7,sd_abs_sub,2,2,1328260.281,1328261.328,1
12,3,4,sd_abs_sub,1,1,1328261.328,1328262.64,1
13,4,4,sd_abs_sub,0,0,1328262.64,1328263.718,1
14,9,6,sd_last_add,5,5,1328263.718,1328264.843,1
15,6,7,sd_last_add,3,3,1328264.843,1328266.093,1
16,2,9,sd_abs_sub,7,7,1328266.093,1328267.437,1
17,7,7,sd_abs_sub,0,0,1328267.437,1328268.5,1
18,4,8,sd_last_add,2,2,1328268.5,1328270.468,1
19,6,7,sd_last_add,3,5,1328270.468,1328271.64,0
20,2,9,sd_abs_sub,7,7,1328271.64,1328273.171,1
21,6,1,sd_last_add,7,7,1328273.171,1328274.437,1
22,5,3,sd_abs_sub,2,2,1328274.437,1328275.843,1
23,2,2,sd_last_add,4,4,1328275.843,1328276.875,1
24,9,8,sd_abs_sub,1,1,1328276.875,1328278.14,1
25,3,3,sd_last_add,6,6,1328278.14,1328279.296,1
26,1,2,sd_abs_sub,1,1,1328279.296,1328280.453,1
27,2,1,sd_last_add,3,3,1328280.453,1328281.578,1
28,6,9,sd_abs_sub,3,3,1328281.578,1328282.734,1
29,4,7,sd_last_add,1,1,1328282.734,1328284.39,1
30,2,4,sd_abs_sub,2,2,1328284.39,1328285.312,1
31,4,8,sd_abs_sub,4,4,1328285.312,1328286.562,1
32,6,6,sd_last_add,2,2,1328286.562,1328287.64,1
33,2,3,sd_last_add,5,5,1328287.64,1328288.625,1
34,2,6,sd_last_add,8,8,1328288.625,1328291.515,1
35,2,5,sd_abs_sub,3,3,1328291.515,1328292.687,1
36,2,5,sd_abs_sub,3,3,1328292.687,1328293.75,1
37,3,7,sd_abs_sub,4,4,1328293.75,1328294.843,1
38,5,8,sd_abs_sub,3,3,1328294.843,1328296.281,1
39,2,8,sd_last_add,0,0,1328296.281,1328298.125,1
40,4,5,sd_abs_sub,1,1,1328298.125,1328299.312,1
41,3,5,sd_last_add,8,8,1328299.312,1328300.671,1
42,3,1,sd_last_add,4,4,1328300.671,1328301.718,1
43,8,6,sd_last_add,4,4,1328301.718,1328303.281,1
44,7,6,sd_abs_sub,1,3,1328303.281,1328304.765,0
45,6,6,sd_last_add,2,2,1328304.765,1328306.343,1
46,8,1,sd_abs_sub,7,7,1328306.343,1328307.546,1
47,5,8,sd_last_add,3,3,1328307.546,1328309.109,1
48,7,5,sd_last_add,2,2,1328309.109,1328310.484,1
49,5,2,sd_abs_sub,3,3,1328310.484,1328311.765,1
50,2,4,sd_last_add,6,6,1328311.765,1328313.14,1
51,2,9,sd_abs_sub,7,7,1328313.14,1328314.406,1
52,5,3,sd_last_add,8,8,1328314.406,1328315.687,1
53,1,6,sd_last_add,7,7,1328315.687,1328316.734,1
54,3,4,sd_abs_sub,1,1,1328316.734,1328317.828,1
55,8,2,sd_abs_sub,6,6,1328317.828,1328319.046,1
56,3,2,sd_abs_sub,1,1,1328319.046,1328322.14,1
57,2,9,sd_last_add,1,1,1328322.14,1328323.703,1
58,6,1,sd_abs_sub,5,5,1328323.703,1328324.781,1
59,6,8,sd_abs_sub,2,2,1328324.781,1328326.312,1
60,7,5,sd_abs_sub,2,2,1328326.312,1328327.89,1
61,8,9,sd_abs_sub,1,1,1328327.89,1328329.0,1
62,4,8,sd_abs_sub,4,4,1328329.0,1328330.14,1
63,6,9,sd_last_add,5,5,1328330.14,1328331.312,1
64,5,4,sd_abs_sub,1,1,1328331.312,1328332.625,1
65,9,8,sd_abs_sub,1,1,1328332.625,1328334.171,1
66,4,5,sd_last_add,9,9,1328334.171,1328336.265,1
67,2,3,sd_abs_sub,1,1,1328336.265,1328337.515,1
68,2,2,sd_abs_sub,0,0,1328337.515,1328338.796,1
69,7,1,sd_abs_sub,6,6,1328338.796,1328340.203,1
70,4,5,sd_abs_sub,1,1,1328340.203,1328341.218,1
71,3,3,sd_last_add,6,6,1328341.218,1328342.328,1
72,6,8,sd_last_add,4,4,1328342.328,1328343.562,1
73,3,9,sd_last_add,2,1,1328343.562,1328345.109,0
74,8,2,sd_last_add,0,0,1328345.109,1328346.781,1
75,9,8,sd_abs_sub,1,1,1328346.781,1328347.968,1
76,6,2,sd_abs_sub,4,4,1328347.968,1328349.468,1
77,1,4,sd_last_add,5,5,1328349.468,1328350.609,1
78,5,3,sd_last_add,8,8,1328350.609,1328352.687,1
79,1,2,sd_last_add,3,3,1328352.687,1328353.953,1
80,2,1,sd_last_add,3,3,1328353.953,1328355.656,1
81,1,5,sd_last_add,6,6,1328355.656,1328356.921,1
82,1,8,sd_last_add,9,9,1328356.937,1328358.953,1
83,2,9,sd_abs_sub,7,7,1328358.953,1328360.203,1
84,4,3,sd_abs_sub,1,1,1328360.203,1328361.75,1
85,3,6,sd_last_add,9,9,1328361.75,1328363.75,1
86,4,8,sd_last_add,2,2,1328363.75,1328366.046,1
87,1,2,sd_last_add,3,3,1328366.046,1328367.296,1
88,2,8,sd_abs_sub,6,6,1328367.296,1328368.968,1
89,1,5,sd_last_add,6,6,1328368.968,1328370.218,1
90,1,7,sd_abs_sub,6,6,1328370.218,1328371.406,1
91,7,8,sd_last_add,5,5,1328371.406,1328372.671,1
92,9,1,sd_abs_sub,8,8,1328372.671,1328374.031,1
93,7,9,sd_last_add,6,6,1328374.031,1328375.89,1
94,5,9,sd_abs_sub,4,4,1328375.89,1328377.562,1
95,3,2,sd_abs_sub,1,1,1328377.562,1328379.0,1
96,5,2,sd_last_add,7,7,1328379.0,1328380.812,1
97,5,5,sd_last_add,0,0,1328380.812,1328382.359,1
98,3,9,sd_abs_sub,6,6,1328382.359,1328383.687,1
99,1,9,sd_abs_sub,8,8,1328383.687,1328385.078,1
100,6,8,sd_abs_sub,2,2,1328385.078,1328386.734,1
101,3,3,sd_last_add,6,6,1328386.734,1328387.828,1
102,9,1,sd_last_add,0,0,1328387.828,1328389.25,1
103,7,7,sd_last_add,4,4,1328389.25,1328390.578,1
104,6,9,sd_last_add,5,5,1328390.578,1328391.765,1
105,8,3,sd_last_add,1,1,1328391.765,1328393.031,1
106,2,8,sd_last_add,0,0,1328393.031,1328394.406,1
107,3,8,sd_abs_sub,5,5,1328394.406,1328396.453,1
108,3,9,sd_last_add,2,2,1328396.453,1328398.156,1
109,2,3,sd_last_add,5,5,1328398.156,1328399.578,1
110,3,2,sd_last_add,5,5,1328399.578,1328400.593,1
111,1,4,sd_abs_sub,3,3,1328400.593,1328402.093,1
112,3,1,sd_abs_sub,2,2,1328402.093,1328403.171,1
113,9,1,sd_last_add,0,0,1328403.171,1328404.39,1
114,7,1,sd_last_add,8,8,1328404.39,1328407.296,1
115,7,9,sd_abs_sub,2,1,1328407.296,1328409.609,0
116,3,8,sd_last_add,1,1,1328409.609,1328411.187,1
117,4,1,sd_abs_sub,3,3,1328411.187,1328412.406,1
118,9,6,sd_abs_sub,3,3,1328412.406,1328414.359,1
119,5,7,sd_abs_sub,2,2,1328414.359,1328415.687,1
120,1,8,sd_abs_sub,7,7,1328415.687,1328417.0,1
121,8,2,sd_last_add,0,0,1328417.0,1328419.0,1
122,8,9,sd_abs_sub,1,1,1328419.0,1328420.593,1
123,7,6,sd_abs_sub,1,1,1328420.593,1328422.046,1
124,4,6,sd_abs_sub,2,2,1328422.046,1328423.125,1
125,7,3,sd_abs_sub,4,4,1328423.125,1328424.609,1
126,7,5,sd_last_add,2,2,1328424.609,1328425.781,1
127,4,7,sd_abs_sub,3,3,1328425.781,1328426.968,1
128,2,1,sd_last_add,3,3,1328426.968,1328427.953,1
129,5,8,sd_last_add,3,3,1328427.953,1328430.031,1
130,7,1,sd_abs_sub,6,6,1328430.031,1328431.156,1
131,4,9,sd_abs_sub,5,5,1328431.156,1328432.406,1
132,5,8,sd_abs_sub,3,3,1328432.406,1328433.765,1
133,8,3,sd_last_add,1,1,1328433.765,1328435.296,1
134,7,4,sd_last_add,1,1,1328435.296,1328436.734,1
135,6,5,sd_last_add,1,2,1328436.734,1328437.953,0
136,2,6,sd_abs_sub,4,4,1328437.953,1328440.187,1
137,3,5,sd_last_add,8,8,1328440.187,1328441.703,1
138,3,4,sd_last_add,7,7,1328441.718,1328442.906,1
139,2,8,sd_abs_sub,6,6,1328442.906,1328444.078,1
140,9,9,sd_last_add,8,8,1328444.078,1328445.781,1
141,7,5,sd_abs_sub,2,2,1328445.781,1328448.406,1
142,7,4,sd_abs_sub,3,3,1328448.406,1328449.656,1
143,3,5,sd_abs_sub,2,2,1328449.656,1328451.015,1
144,9,5,sd_abs_sub,4,4,1328451.015,1328452.171,1
145,2,3,sd_last_add,5,5,1328452.171,1328453.171,1
146,9,9,sd_abs_sub,0,0,1328453.171,1328454.39,1
147,3,9,sd_last_add,2,2,1328454.39,1328455.734,1
148,6,2,sd_last_add,8,8,1328455.734,1328457.406,1
149,9,6,sd_abs_sub,3,3,1328457.406,1328458.703,1
150,7,9,sd_last_add,6,6,1328458.703,1328460.39,1
151,8,2,sd_last_add,0,0,1328460.39,1328461.703,1
152,7,3,sd_abs_sub,4,4,1328461.718,1328462.906,1
153,8,3,sd_last_add,1,1,1328462.906,1328464.531,1
154,3,5,sd_last_add,8,8,1328464.531,1328466.546,1
155,6,4,sd_abs_sub,2,2,1328466.546,1328467.734,1
156,6,4,sd_abs_sub,2,2,1328467.734,1328468.75,1
157,7,6,sd_abs_sub,1,1,1328468.75,1328469.89,1
158,9,3,sd_last_add,2,2,1328469.89,1328471.203,1
159,4,5,sd_last_add,9,9,1328471.203,1328472.703,1
160,8,9,sd_last_add,7,7,1328472.703,1328474.25,1
161,4,8,sd_last_add,2,2,1328474.25,1328475.546,1
162,4,3,sd_last_add,7,7,1328475.546,1328477.25,1
163,3,8,sd_last_add,1,1,1328477.25,1328479.156,1
164,4,8,sd_last_add,2,2,1328479.156,1328480.343,1
165,5,1,sd_abs_sub,4,4,1328480.343,1328481.515,1
166,1,6,sd_abs_sub,5,5,1328481.515,1328482.578,1
167,7,8,sd_last_add,5,5,1328482.578,1328484.187,1
168,7,2,sd_abs_sub,5,5,1328484.187,1328485.687,1
169,9,3,sd_last_add,2,2,1328485.687,1328490.093,1
170,5,7,sd_abs_sub,2,2,1328490.109,1328491.546,1
171,3,2,sd_last_add,5,5,1328491.546,1328492.5,1
172,5,3,sd_last_add,8,8,1328492.5,1328493.703,1
173,9,3,sd_abs_sub,6,6,1328493.703,1328495.046,1
174,1,4,sd_abs_sub,3,3,1328495.046,1328496.25,1
175,7,1,sd_abs_sub,6,6,1328496.25,1328497.484,1
176,4,4,sd_last_add,8,8,1328497.484,1328498.64,1
